signal_deliver 31
Xwaylan | 1699 | 0 | d | . | . | . | . | 16751.118927 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 1 | d | . | . | . | . | 16777.038999 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 0 | d | . | . | . | . | 16779.613492 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 0 | d | . | . | . | . | 16779.715112 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 0 | d | . | . | . | . | 16779.719755 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 0 | d | . | . | . | . | 16779.729237 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 0 | d | . | . | . | . | 16779.743885 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 0 | d | . | . | . | . | 16779.761945 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 0 | d | . | . | . | . | 16779.858170 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 0 | d | . | . | . | . | 16783.965083 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 0 | d | . | . | . | . | 16783.966994 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 1 | d | . | . | . | . | 16783.972139 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
hook | 8204 | 1 | d | . | . | . | . | 16787.803446 |  | signal_deliver | : sig=2 errno=0 code=128 sa_handler=560b498e1249 sa_flags=14000000 
hook | 8204 | 1 | d | . | . | . | . | 16794.532012 |  | signal_deliver | : sig=9 errno=0 code=0 sa_handler=0 sa_flags=0 
bas | 3150 | 1 | d | . | . | . | . | 16794.535268 |  | signal_deliver | : sig=17 errno=0 code=2 sa_handler=562b68b0dd10 sa_flags=14000000 
Xwaylan | 1699 | 1 | d | . | . | . | . | 16840.626268 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 1 | d | . | . | . | . | 16840.636981 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 0 | d | . | . | . | . | 16846.392810 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 0 | d | . | . | . | . | 16846.494332 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 0 | d | . | . | . | . | 16846.495239 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 0 | d | . | . | . | . | 16846.506332 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 0 | d | . | . | . | . | 16846.517570 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
Xwaylan | 1699 | 0 | d | . | . | . | . | 16846.674968 |  | signal_deliver | : sig=14 errno=0 code=128 sa_handler=556acc56a170 sa_flags=14000000 
